Time,RSteps,X,Y,Z
600,0,-3173.62,-5687.144,1267.057
599.98,0,-3173.62,-5687.144,1267.057
599.96,0,-3173.62,-5687.144,1267.057
599.9399,0,-3173.62,-5687.144,1267.057
599.9199,0,-3173.62,-5687.144,1267.057
599.8999,0,-3173.62,-5687.144,1267.057
599.8799,0,-3173.62,-5687.144,1267.057
599.8599,0,-3173.62,-5687.144,1267.057
599.8398,0,-3173.62,-5687.144,1267.057
599.8198,0,-3173.62,-5687.144,1267.057
599.7998,0,-3173.62,-5687.144,1267.057
599.7798,0,-3173.62,-5687.144,1267.057
599.7598,0,-3173.62,-5687.144,1267.057
599.7397,0,-3173.62,-5687.144,1267.057
599.7197,0,-3173.62,-5687.144,1267.057
599.6997,0,-3173.62,-5687.144,1267.057
599.6797,0,-3173.62,-5687.144,1267.057
599.6597,0,-3173.62,-5687.144,1267.057
599.6396,0,-3173.62,-5687.144,1267.057
599.6196,0,-3173.62,-5687.144,1267.057
599.5996,0,-3173.62,-5687.144,1267.057
599.5796,0,-3173.62,-5687.144,1267.057
599.5596,0,-3173.62,-5687.144,1267.057
599.5396,0,-3173.62,-5687.144,1267.057
599.5195,0,-3173.62,-5687.144,1267.057
599.4995,0,-3173.62,-5687.144,1267.057
599.4795,0,-3173.62,-5687.144,1267.057
599.4595,0,-3173.62,-5687.144,1267.057
599.4395,0,-3173.62,-5687.144,1267.057
599.4194,0,-3173.62,-5687.144,1267.057
599.3994,0,-3173.62,-5687.144,1267.057
599.3794,0,-3173.62,-5687.144,1267.057
599.3594,0,-3173.62,-5687.144,1267.057
599.3394,0,-3173.62,-5687.144,1267.057
599.3193,0,-3173.62,-5687.144,1267.057
599.2993,0,-3173.62,-5687.144,1267.057
599.2793,0,-3173.62,-5687.144,1267.057
599.2593,0,-3173.62,-5687.144,1267.057
599.2393,0,-3173.62,-5687.144,1267.057
599.2192,0,-3173.62,-5687.144,1267.057
599.1992,0,-3173.62,-5687.144,1267.057
599.1792,0,-3173.62,-5687.144,1267.057
599.1592,0,-3173.62,-5687.144,1267.057
599.1392,0,-3173.62,-5687.144,1267.057
599.1191,0,-3173.62,-5687.144,1267.057
599.0991,0,-3173.62,-5687.144,1267.057
599.0791,0,-3173.62,-5687.144,1267.057
599.0591,0,-3173.62,-5687.144,1267.057
599.0391,0,-3173.62,-5687.144,1267.057
599.019,0,-3173.62,-5687.144,1267.057
598.999,0,-3173.62,-5687.144,1267.057
598.979,0,-3173.62,-5687.144,1267.057
598.959,0,-3173.62,-5687.144,1267.057
598.939,0,-3173.62,-5687.144,1267.057
598.9189,0,-3173.62,-5687.144,1267.057
598.8989,0,-3173.62,-5687.144,1267.057
598.8789,0,-3173.62,-5687.144,1267.057
